Date,BTC,ETH,BNB,SOL,XRP,DOGE,ADA,TRX,SHIB,AVAX,LINK,DOT,BCH,UNI,NEAR,MATIC,LTC,PEPE,FET,ICP
2024-01-02,42845.23,2209.72,315.8,98.52,0.5823,0.08201,0.5569,0.10675,9.57e-06,36.8,14.148,7.626,234.0,6.433,3.771,0.8539,65.24,1.18e-06,0.6581,14.398
2024-01-03,44151.1,2267.11,323.7,104.91,0.5868,0.08401,0.5699,0.10696,9.99e-06,38.72,14.526,7.879,239.5,6.53,3.91,0.883,66.41,1.25e-06,0.7261,13.864
2024-01-04,44145.11,2268.78,317.5,99.94,0.5757,0.08267,0.5414,0.10438,9.81e-06,36.46,14.091,7.45,239.3,6.434,3.552,0.8525,66.0,1.19e-06,0.6896,13.306
2024-01-05,43968.32,2240.78,307.5,93.77,0.5679,0.08058,0.5227,0.10387,9.61e-06,34.61,13.436,7.133,236.1,6.308,3.479,0.8281,65.64,1.15e-06,0.6485,12.007
2024-01-06,43929.02,2221.42,302.4,89.44,0.5515,0.07824,0.4945,0.1028,9.02e-06,33.64,13.151,6.899,232.5,6.004,3.215,0.8011,64.27,1.12e-06,0.622,11.276
2024-01-07,46951.04,2330.44,303.7,97.88,0.5776,0.0813,0.5412,0.1042,9.58e-06,36.08,14.139,7.483,253.9,6.24,3.416,0.8416,67.73,1.19e-06,0.6818,13.712
2024-01-08,46110.0,2344.29,301.1,99.36,0.5669,0.07923,0.5124,0.10277,9.67e-06,34.65,13.716,7.129,244.8,6.011,3.222,0.8066,66.99,1.2e-06,0.6468,12.742
2024-01-09,46653.99,2584.38,305.8,102.0,0.6008,0.08307,0.566,0.10524,9.98e-06,38.53,15.072,7.991,254.7,6.568,3.603,0.8992,70.1,1.33e-06,0.7171,13.899
2024-01-10,46339.16,2618.01,308.2,99.9,0.6019,0.08456,0.582,0.10619,1.015e-05,39.29,15.022,8.148,276.1,6.819,3.612,0.9263,71.88,1.37e-06,0.7251,13.088
2024-01-11,42782.73,2522.54,296.6,92.12,0.5699,0.08007,0.5476,0.10684,9.64e-06,35.93,14.151,7.567,259.3,6.579,3.458,0.8635,72.97,1.24e-06,0.6853,12.232
2024-01-12,42847.99,2578.19,302.2,95.85,0.5747,0.08092,0.5491,0.11424,9.88e-06,36.49,14.345,7.617,254.1,6.632,3.404,0.8818,71.98,1.25e-06,0.6891,12.918
2024-01-13,41732.35,2472.87,299.5,93.81,0.5763,0.08003,0.5251,0.11121,9.58e-06,35.29,14.755,7.319,245.7,6.319,3.307,0.8374,69.78,1.19e-06,0.6515,12.598
2024-01-14,42511.1,2511.78,317.5,94.36,0.5757,0.08108,0.5276,0.10865,9.54e-06,35.61,15.185,7.509,250.2,6.671,3.306,0.8447,69.13,1.21e-06,0.6846,12.888
2024-01-15,43137.95,2587.4,315.2,97.61,0.5757,0.08134,0.5356,0.10807,9.67e-06,35.57,15.271,7.493,251.2,6.825,3.24,0.845,69.44,1.24e-06,0.6903,12.685
2024-01-16,42776.1,2530.19,309.4,102.1,0.5685,0.08059,0.5282,0.10838,9.53e-06,36.06,15.761,7.35,244.2,6.77,3.308,0.8103,69.46,1.21e-06,0.6773,12.174
2024-01-17,41327.5,2470.81,313.0,94.4,0.552,0.07808,0.5026,0.10813,9.21e-06,33.59,14.658,7.017,237.7,6.32,3.083,0.7861,68.11,1.14e-06,0.6191,11.485
2024-01-18,41659.03,2492.0,314.7,93.62,0.5443,0.07857,0.5044,0.1105,9.31e-06,32.73,16.118,6.894,236.8,6.357,3.01,0.7621,71.29,1.14e-06,0.6179,11.213
2024-01-19,41696.04,2472.01,317.2,92.88,0.5534,0.08777,0.516,0.11006,9.68e-06,32.89,15.781,6.913,239.1,6.497,2.967,0.7871,71.36,1.17e-06,0.6124,11.439
2024-01-20,41580.33,2457.05,318.6,91.09,0.5464,0.08546,0.5032,0.10895,9.35e-06,32.54,15.396,6.817,236.9,6.377,2.922,0.7835,71.75,1.13e-06,0.5933,11.107
2024-01-21,39568.02,2314.2,305.9,83.84,0.5275,0.08057,0.4786,0.10931,8.93e-06,29.53,14.598,6.341,235.7,6.048,2.649,0.7473,67.36,1.06e-06,0.5599,10.476
2024-01-22,39897.6,2242.6,298.8,84.35,0.5183,0.07821,0.4773,0.10722,8.83e-06,30.63,14.3,6.361,229.6,5.842,2.65,0.7255,65.5,1.04e-06,0.5706,10.484
2024-01-23,40084.88,2235.02,293.1,88.77,0.5181,0.07904,0.4765,0.10882,8.9e-06,31.2,14.243,6.462,236.3,5.866,2.68,0.739,66.13,1.04e-06,0.6008,11.529
2024-01-24,39961.09,2218.64,292.1,86.91,0.5138,0.07795,0.4666,0.11212,8.87e-06,30.51,13.744,6.438,236.6,5.75,2.696,0.7324,65.5,1.03e-06,0.5797,11.141
2024-01-25,41823.51,2267.68,302.2,92.28,0.5323,0.07985,0.4849,0.11448,9.04e-06,32.26,14.187,6.672,241.8,5.949,2.917,0.759,67.05,1.08e-06,0.61,12.157
2024-01-26,42120.63,2267.94,305.6,94.28,0.5303,0.08014,0.4862,0.11244,9.13e-06,33.28,14.345,6.669,243.7,5.986,2.912,0.7881,68.06,1.09e-06,0.6235,12.719
2024-01-27,42031.06,2256.9,305.3,95.98,0.5241,0.07882,0.4903,0.11224,9e-06,34.82,14.48,6.872,236.9,5.942,2.88,0.789,68.35,1.06e-06,0.602,12.339
2024-01-28,43302.7,2317.6,310.7,101.68,0.5352,0.08135,0.526,0.11304,9.2e-06,36.06,15.004,7.032,241.3,6.145,3.008,0.8131,68.43,1.07e-06,0.6281,12.551
2024-01-29,42941.1,2343.01,307.6,101.4,0.5107,0.07972,0.5136,0.11206,9.05e-06,35.22,15.475,6.836,237.4,6.257,3.011,0.7993,67.47,1.01e-06,0.5997,11.73
2024-01-30,42580.0,2283.14,300.5,96.96,0.5033,0.07875,0.4976,0.11226,8.94e-06,33.17,15.429,6.654,234.3,6.001,2.823,0.7872,66.76,9.2e-07,0.5665,11.471
2024-01-31,43082.94,2304.28,300.2,97.81,0.5058,0.07937,0.5078,0.11564,9.03e-06,33.85,17.19,6.791,236.6,6.049,2.855,0.8113,67.54,9.2e-07,0.5418,11.668
2024-02-01,43200.0,2309.06,301.4,100.58,0.5105,0.07928,0.5146,0.11629,9.08e-06,36.76,17.828,6.947,236.3,6.136,2.9,0.7998,68.05,9.3e-07,0.5694,12.744
2024-02-02,43011.09,2296.49,299.7,97.96,0.5186,0.07874,0.5124,0.11724,9.11e-06,35.95,17.658,6.825,241.0,6.108,2.815,0.7849,68.81,9.3e-07,0.5617,12.737
2024-02-03,42582.88,2289.79,304.7,95.49,0.5032,0.07831,0.4934,0.11843,8.9e-06,34.87,18.153,6.666,235.2,5.981,2.754,0.7735,66.94,8.8e-07,0.5245,12.739
2024-02-04,42708.7,2301.83,301.2,95.66,0.5069,0.07835,0.4944,0.11898,8.91e-06,34.55,19.164,6.737,235.8,6.005,2.751,0.7804,67.7,9e-07,0.5272,12.245
2024-02-05,43098.95,2372.64,302.7,96.88,0.505,0.07849,0.4983,0.12101,8.86e-06,34.16,18.287,6.807,235.2,6.278,2.736,0.8054,68.29,9e-07,0.5288,12.145
2024-02-06,44349.6,2425.1,307.3,101.14,0.5138,0.08013,0.5022,0.1236,9.06e-06,35.28,18.817,6.941,240.6,6.393,2.87,0.8343,68.62,9.7e-07,0.5585,12.319
2024-02-07,45288.65,2419.55,319.2,102.76,0.5147,0.07987,0.5304,0.12189,9.21e-06,35.42,18.212,7.013,244.6,6.316,2.922,0.8337,70.53,9.5e-07,0.559,12.187
