Date,BTC,ETH,BNB,SOL,XRP,DOGE,ADA,TRX,SHIB,AVAX,S&P 500,NASDAQ,TSLA,MSFT,NVDA,AMZN,GOOGL,META,V,AAPL
2024-01-02,42845.23,2209.72,315.8,98.52,0.5823,0.08201,0.5569,0.10675,9.57e-06,36.8,4742.830078125,14765.9404296875,248.4199981689453,370.8699951171875,48.167999267578125,149.92999267578125,138.1699981689453,346.2900085449219,258.8699951171875,185.63999938964844
2024-01-03,44151.1,2267.11,323.7,104.91,0.5868,0.08401,0.5699,0.10696,9.99e-06,38.72,4704.81005859375,14592.2099609375,238.4499969482422,370.6000061035156,47.56900024414063,148.47000122070312,138.9199981689453,344.4700012207031,257.9800109863281,184.25
2024-01-04,44145.11,2268.78,317.5,99.94,0.5757,0.08267,0.5414,0.10438,9.81e-06,36.46,4688.68017578125,14510.2998046875,237.92999267578125,367.9400024414063,47.99800109863281,144.57000732421875,136.38999938964844,347.1199951171875,259.6099853515625,181.91000366210935
2024-01-05,43968.32,2240.78,307.5,93.77,0.5679,0.08058,0.5227,0.10387,9.61e-06,34.61,4697.240234375,14524.0703125,237.4900054931641,367.75,49.09700012207031,145.24000549316406,135.72999572753906,351.95001220703125,259.69000244140625,181.17999267578125
2024-01-06,43929.02,2221.42,302.4,89.44,0.5515,0.07824,0.4945,0.1028,9.02e-06,33.64,,,,,,,,,,
2024-01-07,46951.04,2330.44,303.7,97.88,0.5776,0.0813,0.5412,0.1042,9.58e-06,36.08,,,,,,,,,,
2024-01-08,46110.0,2344.29,301.1,99.36,0.5669,0.07923,0.5124,0.10277,9.67e-06,34.65,4763.5400390625,14843.76953125,240.4499969482422,374.6900024414063,52.25299835205078,149.10000610351562,138.83999633789062,358.6600036621094,262.5400085449219,185.55999755859372
2024-01-09,46653.99,2584.38,305.8,102.0,0.6008,0.08307,0.566,0.10524,9.98e-06,38.53,4756.5,14857.7099609375,234.9600067138672,375.7900085449219,53.13999938964844,151.3699951171875,140.9499969482422,357.42999267578125,263.3299865722656,185.13999938964844
2024-01-10,46339.16,2618.01,308.2,99.9,0.6019,0.08456,0.582,0.10619,1.015e-05,39.29,4783.4501953125,14969.650390625,233.94000244140625,382.7699890136719,54.34999847412109,153.72999572753906,142.27999877929688,370.4700012207031,264.5599975585937,186.19000244140625
2024-01-11,42782.73,2522.54,296.6,92.12,0.5699,0.08007,0.5476,0.10684,9.64e-06,35.93,4780.240234375,14970.1904296875,227.22000122070312,384.6300048828125,54.821998596191406,155.17999267578125,142.0800018310547,369.6700134277344,264.0299987792969,185.58999633789065
2024-01-12,42847.99,2578.19,302.2,95.85,0.5747,0.08092,0.5491,0.11424,9.88e-06,36.49,4783.830078125,14972.759765625,218.88999938964844,388.4700012207031,54.709999084472656,154.6199951171875,142.64999389648438,374.489990234375,264.1700134277344,185.9199981689453
2024-01-13,41732.35,2472.87,299.5,93.81,0.5763,0.08003,0.5251,0.11121,9.58e-06,35.29,,,,,,,,,,
2024-01-14,42511.1,2511.78,317.5,94.36,0.5757,0.08108,0.5276,0.10865,9.54e-06,35.61,,,,,,,,,,
2024-01-15,43137.95,2587.4,315.2,97.61,0.5757,0.08134,0.5356,0.10807,9.67e-06,35.57,,,,,,,,,,
2024-01-16,42776.1,2530.19,309.4,102.1,0.5685,0.08059,0.5282,0.10838,9.53e-06,36.06,4765.97998046875,14944.349609375,219.91000366210935,390.2699890136719,56.38199996948242,153.16000366210938,142.49000549316406,367.4599914550781,265.239990234375,183.6300048828125
2024-01-17,41327.5,2470.81,313.0,94.4,0.552,0.07808,0.5026,0.10813,9.21e-06,33.59,4739.2099609375,14855.6201171875,215.5500030517578,389.4700012207031,56.053001403808594,151.7100067138672,141.47000122070312,368.3699951171875,266.6300048828125,182.67999267578125
2024-01-18,41659.03,2492.0,314.7,93.62,0.5443,0.07857,0.5044,0.1105,9.31e-06,32.73,4780.93994140625,15055.650390625,211.8800048828125,393.8699951171875,57.10699844360352,153.5,143.47999572753906,376.1300048828125,268.1400146484375,188.6300048828125
2024-01-19,41696.04,2472.01,317.2,92.88,0.5534,0.08777,0.516,0.11006,9.68e-06,32.89,4839.81005859375,15310.9697265625,212.19000244140625,398.6700134277344,59.49100112915039,155.33999633789062,146.3800048828125,383.4500122070313,270.8999938964844,191.55999755859372
2024-01-20,41580.33,2457.05,318.6,91.09,0.5464,0.08546,0.5032,0.10895,9.35e-06,32.54,,,,,,,,,,
2024-01-21,39568.02,2314.2,305.9,83.84,0.5275,0.08057,0.4786,0.10931,8.93e-06,29.53,,,,,,,,,,
2024-01-22,39897.6,2242.6,298.8,84.35,0.5183,0.07821,0.4773,0.10722,8.83e-06,30.63,4850.43017578125,15360.2900390625,208.8000030517578,396.510009765625,59.65399932861328,154.77999877929688,145.99000549316406,381.7799987792969,271.20001220703125,193.88999938964844
2024-01-23,40084.88,2235.02,293.1,88.77,0.5181,0.07904,0.4765,0.10882,8.9e-06,31.2,4864.60009765625,15425.9404296875,209.13999938964844,398.8999938964844,59.87300109863281,156.02000427246094,147.0399932861328,385.2000122070313,271.260009765625,195.17999267578125
2024-01-24,39961.09,2218.64,292.1,86.91,0.5138,0.07795,0.4666,0.11212,8.87e-06,30.51,4868.5498046875,15481.919921875,207.8300018310547,402.55999755859375,61.36199951171875,156.8699951171875,148.6999969482422,390.7000122070313,271.6499938964844,194.5
2024-01-25,41823.51,2267.68,302.2,92.28,0.5323,0.07985,0.4849,0.11448,9.04e-06,32.26,4894.16015625,15510.5,182.6300048828125,404.8699951171875,61.617000579833984,157.75,151.8699951171875,393.1799926757813,272.6099853515625,194.1699981689453
2024-01-26,42120.63,2267.94,305.6,94.28,0.5303,0.08014,0.4862,0.11244,9.13e-06,33.28,4890.97021484375,15455.3603515625,183.25,403.9299926757813,61.03099822998047,159.1199951171875,152.19000244140625,394.1400146484375,267.94000244140625,192.4199981689453
2024-01-27,42031.06,2256.9,305.3,95.98,0.5241,0.07882,0.4903,0.11224,9e-06,34.82,,,,,,,,,,
2024-01-28,43302.7,2317.6,310.7,101.68,0.5352,0.08135,0.526,0.11304,9.2e-06,36.06,,,,,,,,,,
2024-01-29,42941.1,2343.01,307.6,101.4,0.5107,0.07972,0.5136,0.11206,9.05e-06,35.22,4927.93017578125,15628.0400390625,190.92999267578125,409.7200012207031,62.46500015258789,161.25999450683594,153.50999450683594,401.0199890136719,273.6600036621094,191.72999572753903
2024-01-30,42580.0,2283.14,300.5,96.96,0.5033,0.07875,0.4976,0.11226,8.94e-06,33.17,4924.97021484375,15509.900390625,191.58999633789065,408.5899963378906,62.77399826049805,159.0,151.4600067138672,400.05999755859375,277.1499938964844,188.0399932861328
2024-01-31,43082.94,2304.28,300.2,97.81,0.5058,0.07937,0.5078,0.11564,9.03e-06,33.85,4845.64990234375,15164.009765625,187.2899932861328,397.5799865722656,61.527000427246094,155.1999969482422,140.10000610351562,390.1400146484375,273.260009765625,184.3999938964844
2024-02-01,43200.0,2309.06,301.4,100.58,0.5105,0.07928,0.5146,0.11629,9.08e-06,36.76,4906.18994140625,15361.6396484375,188.8600006103516,403.7799987792969,63.027000427246094,159.27999877929688,141.16000366210938,394.7799987792969,277.04998779296875,186.8600006103516
2024-02-02,43011.09,2296.49,299.7,97.96,0.5186,0.07874,0.5124,0.11724,9.11e-06,35.95,4958.60986328125,15628.9501953125,187.91000366210935,411.2200012207031,66.16000366210938,171.80999755859375,142.3800048828125,474.989990234375,277.17999267578125,185.8500061035156
2024-02-03,42582.88,2289.79,304.7,95.49,0.5032,0.07831,0.4934,0.11843,8.9e-06,34.87,,,,,,,,,,
2024-02-04,42708.7,2301.83,301.2,95.66,0.5069,0.07835,0.4944,0.11898,8.91e-06,34.55,,,,,,,,,,
2024-02-05,43098.95,2372.64,302.7,96.88,0.505,0.07849,0.4983,0.12101,8.86e-06,34.16,4942.81005859375,15597.6796875,181.05999755859372,405.6499938964844,69.33200073242188,170.30999755859375,143.67999267578125,459.4100036621094,275.5799865722656,187.67999267578125
2024-02-06,44349.6,2425.1,307.3,101.14,0.5138,0.08013,0.5022,0.1236,9.06e-06,35.28,4954.22998046875,15609.0,185.1000061035156,405.489990234375,68.2229995727539,169.14999389648438,144.10000610351562,454.7200012207031,276.760009765625,189.3000030517578
2024-02-07,45288.65,2419.55,319.2,102.76,0.5147,0.07987,0.5304,0.12189,9.21e-06,35.42,4995.06005859375,15756.6396484375,187.5800018310547,414.0499877929688,70.0989990234375,170.52999877929688,145.5399932861328,469.5899963378906,279.3900146484375,189.41000366210935
2024-02-08,47132.77,2486.56,324.0,106.94,0.5262,0.08155,0.5407,0.1237,9.39e-06,38.0,4997.91015625,15793.7099609375,189.55999755859372,414.1099853515625,69.64099884033203,169.83999633789062,145.91000366210938,470.0,275.7799987792969,188.32000732421875
2024-02-09,47751.09,2500.24,323.0,109.01,0.5239,0.08142,0.5515,0.12436,9.41e-06,40.2,5026.60986328125,15990.66015625,193.57000732421875,420.5499877929688,72.13300323486328,174.4499969482422,149.0,468.1099853515625,276.42999267578125,188.8500061035156
2024-02-10,48299.99,2507.21,320.7,107.46,0.5261,0.08123,0.5414,0.12422,9.41e-06,39.72,,,,,,,,,,
2024-02-11,49917.27,2659.99,327.8,111.64,0.5315,0.08223,0.5592,0.125,9.61e-06,40.97,,,,,,,,,,
2024-02-12,49699.59,2639.99,324.7,112.48,0.5247,0.08105,0.5449,0.12687,9.47e-06,39.74,5021.83984375,15942.5498046875,188.1300048828125,415.260009765625,72.24800109863281,172.33999633789062,147.52999877929688,468.8999938964844,275.07000732421875,187.1499938964844
2024-02-13,51795.17,2774.81,333.9,116.97,0.5378,0.0855,0.5768,0.12956,9.75e-06,42.22,4953.169921875,15655.599609375,184.0200042724609,406.3200073242188,72.12799835205078,168.63999938964844,145.13999938964844,460.1199951171875,275.8099975585937,185.0399932861328
2024-02-14,51880.0,2822.59,354.2,113.5,0.5622,0.08528,0.6087,0.13104,9.86e-06,41.55,5000.6201171875,15859.150390625,188.7100067138672,409.489990234375,73.9000015258789,170.97999572753906,145.94000244140625,473.2799987792969,277.5599975585937,184.1499938964844
2024-02-15,52124.11,2801.8,360.4,110.33,0.5643,0.08591,0.5986,0.13282,9.87e-06,40.26,5029.72998046875,15906.169921875,200.4499969482422,406.55999755859375,72.65799713134766,169.8000030517578,142.77000427246094,484.0299987792969,280.9800109863281,183.8600006103516
2024-02-16,51642.64,2785.93,352.9,108.92,0.5496,0.08356,0.6096,0.1359,9.63e-06,39.76,5005.56982421875,15775.650390625,199.9499969482422,404.05999755859375,72.61299896240234,169.50999450683594,140.52000427246094,473.3200073242188,278.5599975585937,182.30999755859372
2024-02-17,52137.67,2881.2,349.8,112.24,0.5571,0.08517,0.6193,0.13518,9.74e-06,40.29,,,,,,,,,,
2024-02-18,51774.73,2944.8,351.6,111.53,0.5626,0.08942,0.6308,0.13636,9.9e-06,39.51,,,,,,,,,,
2024-02-19,52258.82,3014.81,354.6,108.31,0.5622,0.08615,0.6216,0.13921,9.76e-06,38.49,,,,,,,,,,
2024-02-20,51849.39,2967.9,379.2,105.03,0.5491,0.08457,0.5988,0.13971,9.56e-06,37.61,4975.509765625,15630.7802734375,193.75999450683597,402.7900085449219,69.4520034790039,167.0800018310547,141.1199951171875,471.75,275.1499938964844,181.55999755859372
2024-02-21,51288.42,2971.4,382.6,101.76,0.541,0.0841,0.5858,0.13901,9.53e-06,36.78,4981.7998046875,15580.8701171875,194.7700042724609,402.1799926757813,67.47200012207031,168.58999633789062,142.5500030517578,468.0299987792969,276.760009765625,182.32000732421875
2024-02-22,50744.15,2922.24,375.5,99.9,0.5342,0.08451,0.5824,0.13817,9.52e-06,35.92,5087.02978515625,16041.6201171875,197.41000366210935,411.6499938964844,78.53800201416016,174.5800018310547,144.08999633789062,486.1300048828125,283.75,184.3699951171875
